"TIMESTAMP", "OPEN", "CLOSE", "HIGH", "LOW", "VOLUME", "QUOTE_VOLUME", "CURRENCY_PAIR"
"1527789600","7596.014919","7476.65173","7633.378138","7417.506234","43.95652887","331122.36369103","BTC-USDT"
"1527811200","7502.399999","7486","7545.979679","7463.557971","32.62807597","244915.84203227","BTC-USDT"
"1527832800","7486","7377.062029","7630","7369","53.08046794","399962.13617958","BTC-USDT"
"1527854400","7373.870999","7422.242222","7474","7373.870999","36.96404501","274109.02130419","BTC-USDT"
"1527876000","7422.242222","7525.000001","7560","7385.333466","21.6285874","161679.79840799","BTC-USDT"
"1527897600","7525.000001","7530","7544.69427","7443.414876","26.66997944","200076.04380296","BTC-USDT"
"1527919200","7530","7642.690167","7693.288115","7474","43.81029337","334531.63305096","BTC-USDT"
"1527940800","7642.690167","7631","7685.050284","7603.36835","26.66889713","203784.59973027","BTC-USDT"
"1527962400","7631","7671.918456","7684.28178","7625","17.68261356","135188.23085533","BTC-USDT"
"1527984000","7671.916957","7670","7684.28178","7603.368351","29.65144224","226738.58398565","BTC-USDT"
"1528005600","7661.793","7710","7795.4406","7639.695685","44.16719233","341469.29757472","BTC-USDT"
"1528027200","7739","7690","7774.084802","7651.676096","32.8905833","253401.32262862","BTC-USDT"
"1528048800","7690","7711.521558","7739.14","7650","31.080636","239005.97861317","BTC-USDT"
"1528070400","7711.521558","7647.065251","7750","7625.76605","34.47927809","265083.13338975","BTC-USDT"
"1528092000","7641.521533","7508.992189","7670.521533","7478","73.21265961","554972.28964772","BTC-USDT"
"1528113600","7495","7485.275678","7535.999999","7450","59.98965449","449207.37871092","BTC-USDT"
"1528135200","7485.275678","7495.012979","7574.559844","7456.57","28.88574856","216919.89665688","BTC-USDT"
"1528156800","7495.012979","7431.395392","7526.999999","7360","53.06708027","393719.88292505","BTC-USDT"
"1528178400","7431.395392","7414.573369","7506.690931","7383.63","50.92450957","378354.22588685","BTC-USDT"
"1528200000","7424.999358","7627.54464","7680.693636","7353.927796","58.5166257","438950.02147557","BTC-USDT"
"1528221600","7627.54464","7636.28","7673.69","7567.240001","31.61720392","240796.70052492","BTC-USDT"
"1528243200","7636.28","7601.284963","7655.528586","7567.628897","20.57503468","156634.01177525","BTC-USDT"
"1528264800","7601.140224","7625.00153","7663.976897","7575.31983","28.06226351","213876.02711662","BTC-USDT"
"1528286400","7612.160171","7516.004","7680.693636","7475","54.52803369","414256.25728924","BTC-USDT"
"1528308000","7522","7662.221","7684.51","7451","26.01910269","197091.18302748","BTC-USDT"
"1528329600","7662.221","7707.069","7775.293786","7659.22864","25.72153288","198563.07999307","BTC-USDT"
"1528351200","7720.36","7708.169762","7743.323026","7674.051532","22.83530484","176008.3176356","BTC-USDT"
"1528372800","7708.169762","7688.706","7728.505826","7651.574308","21.3982584","164653.76081965","BTC-USDT"
"1528394400","7688.706","7680","7719.698277","7638.92","19.86442034","152409.20041369","BTC-USDT"
"1528416000","7682.416","7609.000001","7726.4544","7603.000001","14.01075318","107175.30909336","BTC-USDT"
"1528437600","7635","7554.078","7672.370711","7536.57","28.82757159","219307.5052317","BTC-USDT"
"1528459200","7552","7673.084875","7697.597881","7511.583787","30.08946884","228335.29824625","BTC-USDT"
"1528480800","7660.02948","7600","7681.243444","7600","28.09471552","214776.63177095","BTC-USDT"
"1528502400","7617.534659","7658.308001","7694.648862","7600","19.69940178","150921.96703793","BTC-USDT"
"1528524000","7658.308066","7652.568835","7721.899725","7604.000001","19.40021683","148528.7702039","BTC-USDT"
"1528545600","7650.56883","7596","7664.999522","7538.00015","25.61749601","194580.38038111","BTC-USDT"
"1528567200","7608.755","7493.999999","7629.999999","7450","14.6759424","110850.01579648","BTC-USDT"
"1528588800","7493.999999","7304.830499","7493.999999","7239","86.63152006","634534.83615036","BTC-USDT"
"1528610400","7271.76","7220.201918","7312","7160","82.07647481","593499.56942501","BTC-USDT"
"1528632000","7233.078782","6750","7279.999999","6710","102.19972223","716348.86840734","BTC-USDT"
"1528653600","6739.43412","6762.999999","6847.481476","6615.000656","163.44813147","1099386.45000499","BTC-USDT"
"1528675200","6762.999999","6733.999999","6825.080149","6674.999999","73.53431665","496093.22240989","BTC-USDT"
"1528696800","6733.999999","6759.55879","7001.289462","6615.000001","124.56662877","849467.7061777","BTC-USDT"
"1528718400","6762","6720.378929","6776.835532","6615.000002","66.37624662","445343.38204537","BTC-USDT"
"1528740000","6720.378929","6850.329393","6926.479999","6645.438004","35.86144434","243096.44312907","BTC-USDT"
"1528761600","6859.52845","6844.596868","6896.400444","6776.92768","35.07331072","239957.37299889","BTC-USDT"
"1528783200","6824.688271","6825.624","6868.999691","6790.936307","33.03563313","225523.87213677","BTC-USDT"
"1528804800","6827","6720","6833.6318","6655","42.33895232","285104.53735971","BTC-USDT"
"1528826400","6707.000358","6523.00784","6735.185661","6447.464224","93.92410499","613541.82547661","BTC-USDT"
"1528848000","6524.451296","6557.605986","6612","6497.94838","44.60596796","292307.13441923","BTC-USDT"
"1528869600","6557.605986","6447","6586.98173","6355","88.4882744","570694.60901698","BTC-USDT"
"1528891200","6447","6295","6501.720134","6100","122.02329918","773783.79931287","BTC-USDT"
"1528912800","6295","6299.999998","6379.999999","6215","55.54572146","349389.01362745","BTC-USDT"
"1528934400","6289.45","6476.933009","6517.835474","6260","49.70302268","317999.94427693","BTC-USDT"
"1528956000","6476.933009","6522.863131","6578.684","6452.58896","49.90058403","324559.47813027","BTC-USDT"
"1528977600","6530.01992","6625.757608","6669.6658","6300.000001","76.6564966","497643.88564427","BTC-USDT"
"1528999200","6623.851259","6620.000001","6710","6577.194945","64.94723495","431621.53066591","BTC-USDT"
"1529020800","6641.907299","6556.67831","6658.648988","6531.78505","34.09265738","224344.24954763","BTC-USDT"
"1529042400","6556.67831","6534.675514","6649","6454.999999","36.56058696","239679.09322123","BTC-USDT"
"1529064000","6534.675514","6557.420895","6606.488751","6471.000001","27.31126072","178086.74547987","BTC-USDT"
"1529085600","6526.800241","6377","6560","6361.133281","33.58131009","216605.71759608","BTC-USDT"
"1529107200","6377.1","6465.376207","6478.33581","6367.742276","19.79606399","126873.90881336","BTC-USDT"
"1529128800","6466.92303","6460.85592","6509.999481","6409.51585","23.85992504","154119.54861717","BTC-USDT"
"1529150400","6458.16555","6520.284168","6568.003355","6320.000506","39.88933107","256317.6611856","BTC-USDT"
"1529172000","6520.284168","6490","6573.652706","6470.071865","23.0349152","150069.05173899","BTC-USDT"
"1529193600","6496.000004","6520","6543.11511","6490","10.50816809","68439.00174826","BTC-USDT"
"1529215200","6520","6500.20853","6584.440013","6490","14.6711053","95643.4855548","BTC-USDT"
"1529236800","6500.20853","6495","6529.70954","6425.634631","20.7739194","134933.77791442","BTC-USDT"
"1529258400","6495","6420.464925","6548","6410","15.47505097","100327.00392456","BTC-USDT"
"1529280000","6446.687639","6425.000006","6475.046849","6370.951491","23.75065518","152390.16570046","BTC-USDT"
"1529301600","6425.000005","6407.060373","6497.839999","6395.098744","30.03976754","193154.01307403","BTC-USDT"
"1529323200","6413.946401","6725","6795","6405.12","47.66588371","316606.62320866","BTC-USDT"
"1529344800","6734.999999","6722","6755.8763","6660.379052","31.48059035","211540.7977408","BTC-USDT"
"1529366400","6702.01","6703.8784","6739.782811","6668.999999","33.90781847","226804.74470804","BTC-USDT"
"1529388000","6700.399652","6739.484716","6801","6660","20.50730059","137855.53829673","BTC-USDT"
"1529409600","6728.810448","6709.999987","6835","6660.000002","32.7766531","220988.65759113","BTC-USDT"
"1529431200","6706.794531","6737.373251","6749.999264","6692.817956","23.4706884","157826.18604968","BTC-USDT"
"1529452800","6750","6578.5","6750","6557.878534","69.46428659","459059.36874869","BTC-USDT"
"1529474400","6578.5","6616.00148","6657.47836","6578","29.01649907","192199.05776724","BTC-USDT"
"1529496000","6625","6770.395683","6818.889492","6582","32.63724301","219614.99962609","BTC-USDT"
"1529517600","6770.395683","6751.039936","6770.395684","6698.254364","19.75633734","133134.23787236","BTC-USDT"
"1529539200","6764.640098","6739.9536","6830.635094","6737.1","25.21964634","170560.19348896","BTC-USDT"
"1529560800","6741.732532","6731","6774.877485","6668.627455","33.51970731","225503.83713977","BTC-USDT"
"1529582400","6731","6709.023","6752.02623","6680.229456","33.13107995","222289.63692989","BTC-USDT"
"1529604000","6709.023","6715.648192","6739.999297","6690","12.64104103","84875.60010661","BTC-USDT"
"1529625600","6722.83128","6647.596165","6739.999999","6616","30.23477453","201048.45912117","BTC-USDT"
"1529647200","6648.289231","6334.948682","6660.984194","6290.91171","68.54099889","441788.61324051","BTC-USDT"
"1529668800","6336.925677","6146.107621","6356.44251","6083.39","87.46743457","539407.9408348","BTC-USDT"
"1529690400","6135.516234","6041.55532","6235.92","5911.500001","146.67356386","886103.58127326","BTC-USDT"
"1529712000","6041.55532","6076.082888","6166.04053","6041.55532","54.97746889","335964.11261496","BTC-USDT"
"1529733600","6044.999999","6116.437934","6161.194575","6005.596254","31.38696083","191223.65819686","BTC-USDT"
"1529755200","6116.437934","6124.23123","6135","6057.018106","29.13105698","177611.63792318","BTC-USDT"
"1529776800","6124.23123","6150","6258.624638","6104.049525","29.42070792","180812.88574905","BTC-USDT"
"1529798400","6157.672079","5860.4816","6178.25473","5818","73.48524143","437938.68910544","BTC-USDT"
"1529820000","5862.580339","5900.917324","5922.980994","5776.723415","65.64169402","383686.0642399","BTC-USDT"
"1529841600","5905.07492","6176.103213","6241.320201","5736.812481","107.23449834","643050.25046717","BTC-USDT"
"1529863200","6176.103213","6137.370214","6200.466961","6100","44.78232458","276152.21751752","BTC-USDT"
"1529884800","6137.370214","6165.270929","6190","6091.033417","30.64015402","188466.37523473","BTC-USDT"
"1529906400","6159.203819","6215.778532","6240","6138.314553","38.79149768","240118.36933921","BTC-USDT"
"1529928000","6231.115974","6267.247394","6335.070427","6080","84.12843248","524558.76112812","BTC-USDT"
"1529949600","6267.91108","6236.480565","6290.962314","6223.145546","34.13454805","213252.45946372","BTC-USDT"
"1529971200","6246.7458","6262.013572","6265.110355","6177.818612","26.0084404","162182.36657859","BTC-USDT"
"1529992800","6248","6188.816094","6262.571626","6173.415889","27.63117454","171727.49209632","BTC-USDT"
"1530014400","6196.122051","6175","6248.045102","6131","30.90631839","191021.64786789","BTC-USDT"
"1530036000","6183.298659","6068.11","6250","6036.479738","38.53256459","236827.46253398","BTC-USDT"
"1530057600","6068.11","6071.005619","6105.955537","6020.000009","27.62274709","167512.63542959","BTC-USDT"
"1530079200","6069.139426","6098","6142.679758","6066.666666","19.27139802","117350.20370345","BTC-USDT"
"1530100800","6092.791971","6132.519761","6153.075","5992.334638","47.33699594","288027.27236131","BTC-USDT"
"1530122400","6120","6139.692981","6188.897359","6106.571391","18.29015456","112149.08906916","BTC-USDT"
"1530144000","6139.692989","6113.671176","6161.62624","6075.302977","10.60107267","64837.25747521","BTC-USDT"
"1530165600","6106.602384","6111.344949","6145.082041","6076.932351","25.87535602","157948.07386764","BTC-USDT"
"1530187200","6109.413598","6097.917277","6129","6064.136753","23.59083015","144130.2778081","BTC-USDT"
"1530208800","6097.917277","5858.604311","6122","5814.028081","101.09123238","606395.43041766","BTC-USDT"
"1530230400","5847.750623","5900.687462","5957.008425","5796.529994","47.1361898","276719.05489027","BTC-USDT"
"1530252000","5900","5865.158792","5927.484358","5844.64111","31.18584534","183804.51877851","BTC-USDT"
"1530273600","5870.42563","5866.728919","5917.113716","5831.864483","29.57070381","173521.98405266","BTC-USDT"
"1530295200","5866.728919","6175","6290","5833","60.05576573","363961.98392505","BTC-USDT"
"1530316800","6172.061845","6400.000001","6490","6172.061845","46.63090347","296089.82741964","BTC-USDT"
"1530338400","6400.000001","6398","6457.499999","6365","50.88464097","325507.95999086","BTC-USDT"
"1530360000","6394.1612","6337.1954","6447.005884","6320.286456","71.99447166","458695.97008392","BTC-USDT"
"1530381600","6333.233778","6396.825794","6411.151","6301","32.15143783","203760.53109816","BTC-USDT"
"1530403200","6388.334698","6378.1708","6437.850394","6321.204999","26.735133","170045.53195366","BTC-USDT"
"1530424800","6390.973114","6378.77497","6404.205376","6347.303777","20.86261677","133034.33496995","BTC-USDT"
"1530446400","6379.424161","6330.969138","6386.139386","6255","38.640176","244011.39633075","BTC-USDT"
"1530468000","6329.5","6361.084362","6404.494996","6300","49.56457249","315419.59999111","BTC-USDT"
"1530489600","6353.74","6300.407978","6368.698928","6288.084501","20.81294076","131890.63346555","BTC-USDT"
"1530511200","6288.2248","6341.16927","6400.149004","6271.947152","70.6454927","450086.79918422","BTC-USDT"
"1530532800","6351.588668","6623.462","6669.979588","6332.170784","117.24006351","772784.06823868","BTC-USDT"
"1530554400","6619.629396","6610","6676.707272","6602.825926","32.979646","218656.94219849","BTC-USDT"
"1530576000","6610","6637.092715","6686.357176","6598.925981","29.59739516","196520.55126312","BTC-USDT"
"1530597600","6629.077108","6584.756105","6649.6515","6530","35.7816764","235927.08527781","BTC-USDT"
"1530619200","6584.756105","6582.754705","6599.386339","6542.037366","28.05963467","184468.73595639","BTC-USDT"
"1530640800","6585.802037","6499.677039","6640","6465","40.86494535","268177.91845542","BTC-USDT"
"1530662400","6508","6484.807455","6518.823284","6414.057852","39.65681789","256167.39298435","BTC-USDT"
"1530684000","6482.279226","6537.380629","6560","6460.000011","28.11217251","183139.74630899","BTC-USDT"
